,"ECE services in Christchurch City, Selwyn District and Waimakariri Districts 4/3/2011",,,,,,,,
,,,,,,,,,
"Institution Number","Name","Institution Type","Street","Suburb","City","TLA","_XCoords","_YCoords","Ward"
70430,"Alpha Early Childhood Educational Centre","Education & Care Service","45 a Randall Street","Richmond","Christchurch","Christchurch",2482480.34,5743552.22,"Shirley-Papanui Ward"
65070,"An Nur Childcare Centre","Education & Care Service","48 Springs Road","Hornby","Christchurch","Christchurch",2472957.54,5739924.65,"Riccarton-Wigram Ward"
65092,"Angel Care Preschool","Education & Care Service","94 Idris Road","Fendalton","Christchurch","Christchurch",2477880.75,5743967.21,"Fendalton-Waimairi Ward"
70089,"Annabel's Educare","Education & Care Service","6 Pratt Street","New Brighton","Christchurch","Christchurch",2487307.39,5744571.47,"Burwood-Pegasus Ward"
45248,"Annabels Educare Avonhead Ltd Nursery","Education & Care Service","66 Avonhead Road","Avonhead","Christchurch","Christchurch",2474495.67,5742512.49,"Riccarton-Wigram Ward"
45249,"Annabels Educare Avonhead Ltd Preschool","Education & Care Service","66 Avonhead Road","Avon Head","Christchurch","Christchurch",2474491.95,5742505.52,"Riccarton-Wigram Ward"
70016,"Aranui Playcentre","Playcentre","13 Merrington Crescent","Aranui","Christchurch","Christchurch",2486051.98,5743266.53,"Burwood-Pegasus Ward"
70407,"Aratupu Preschool and Nursery","Education & Care Service","97 HAREWOOD ROAD","Papanui","Christchurch","Christchurch",2477788.27,5745854.36,"Shirley-Papanui Ward"
65185,"Autaumafai A Fanau A'oga Amata Trust","Education & Care Service","221 Woodham Road","Linwood","Christchurch","Christchurch",2483796.9,5742435.34,"Hagley-Ferrymead Ward"
70022,"Avonhead Playcentre","Playcentre","166 Waimairi Road","Riccarton","Christchurch","Christchurch",2475439.93,5743162.79,"Riccarton-Wigram Ward"
70381,"Avonhead Preschool","Education & Care Service","188 Yalhurst Road","Upper Riccarton","Christchurch","Christchurch",2473997.01,5742258.24,"Riccarton-Wigram Ward"
45434,"Avonhead Preschool - Tui Room","Education & Care Service","190 Yaldhurst Road","Avon Head","Christchurch","Christchurch",2473990.92,5742260.14,"Riccarton-Wigram Ward"
70321,"Avonside Early Childhood Centre","Education & Care Service","43 Woodham Road","Avonside","Christchurch","Christchurch",2482794.46,5742443.81,"Hagley-Ferrymead Ward"
65121,"Banks Peninsula Plunket Community Preschool","Education & Care Service","6063  State Highway 75",,"Duvauchelle","Christchurch",2504460.46,5717403.04,"Banks Peninsula Ward"
70507,"Barnardos Richmond Early Learning Centre","Education & Care Service","12 Slater Street","Richmond","Christchurch","Christchurch",2481988.26,5743327.58,"Shirley-Papanui Ward"
70026,"Belfast Playcentre","Playcentre","Main North Road",,"Belfast","Christchurch",2479911.29,5750412.17,"Shirley-Papanui Ward"
70329,"Bishopdale Community  Preschool","Education & Care Service","Farrington Avenue","Bishopdale","Christchurch","Christchurch",2476575.51,5746206.17,"Fendalton-Waimairi Ward"
45276,"Bookworms Learning Centre","Education & Care Service","Northwood Super Centre 1 Radcliffe Road","Northwood","Christchurch","Christchurch",2479517.8,5749581.6,"Shirley-Papanui Ward"
45551,"Bookworms Preschool","Education & Care Service","18 Fitzgerald Ave","Christchurch Central","Christchurch","Christchurch",2481799.68,5740876.12,"Hagley-Ferrymead Ward"
70028,"Brooklands Playcentre","Playcentre","1002 Lower Styx Road",,"Brooklands-Christchurch","Christchurch",2485248.01,5755544.31,"Shirley-Papanui Ward"
